City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Hambantota,LK,6.1241,81.1185,77.0,83,13,5.75,few clouds
1,Saskylakh,RU,71.9167,114.0833,-33.05,81,83,5.08,broken clouds
2,Qaanaaq,GL,77.484,-69.3632,18.16,79,100,3.44,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,78.3,67,10,11.25,clear sky
4,Geraldton,AU,-28.7667,114.6,69.8,73,75,8.05,broken clouds
5,Barrow,US,71.2906,-156.7887,5.0,85,20,19.57,snow
6,Hermanus,ZA,-34.4187,19.2345,69.01,80,12,7.0,light rain
7,Yellowknife,CA,62.456,-114.3525,-27.0,68,20,4.61,few clouds
8,Thompson,CA,55.7435,-97.8558,-20.2,83,40,4.61,scattered clouds
9,Vaini,TO,-21.2,-175.2,75.2,100,75,4.61,moderate rain
10,Axim,GH,4.8699,-2.2405,82.76,71,61,11.77,broken clouds
11,Kalabo,ZM,-14.97,22.6814,74.53,80,100,5.17,light rain
12,Busselton,AU,-33.65,115.3333,61.0,84,5,2.26,clear sky
13,Shar,KZ,49.5886,81.0453,6.03,91,100,9.37,snow
14,Ushuaia,AR,-54.8,-68.3,50.0,57,75,10.36,light rain
15,Narsaq,GL,60.9167,-46.05,28.4,29,1,13.8,clear sky
16,Punta Arenas,CL,-53.15,-70.9167,55.4,50,0,28.77,light rain
17,Champerico,GT,14.3,-91.9167,82.4,61,0,1.9,clear sky
18,Mataura,NZ,-46.1927,168.8643,54.0,66,72,7.0,broken clouds
19,Urusha,RU,54.05,122.9,-19.01,85,6,2.93,clear sky
20,Okhotsk,RU,59.3833,143.3,-15.97,81,100,8.66,overcast clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,75,10.36,light rain
22,Svetlyy,RU,54.675,20.1347,35.6,100,90,13.42,light rain
23,Adrar,MR,20.5022,-10.0711,82.11,12,1,13.8,clear sky
24,Nome,US,64.5011,-165.4064,33.8,86,90,3.94,light rain
25,Montevideo,UY,-34.8335,-56.1674,86.0,48,20,8.05,few clouds
26,Grand-Santi,GF,4.25,-54.3833,82.02,81,30,4.68,scattered clouds
27,Kloulklubed,PW,7.0419,134.2556,78.8,94,75,5.75,broken clouds
28,Ahuimanu,US,21.4447,-157.8378,73.4,78,90,11.5,light rain
29,Cape Town,ZA,-33.9258,18.4232,75.99,57,40,14.97,scattered clouds
30,Berlevag,NO,70.8578,29.0864,21.97,94,100,30.51,light snow
31,Atuona,PF,-9.8,-139.0333,77.81,79,4,16.33,clear sky
32,Qaqortoq,GL,60.7167,-46.0333,28.4,29,1,13.8,clear sky
33,Maceio,BR,-9.6658,-35.7353,86.0,58,75,19.57,broken clouds
34,Plettenberg Bay,ZA,-34.0527,23.3716,71.51,78,77,12.55,broken clouds
35,Pangnirtung,CA,66.1451,-65.7125,17.6,73,20,2.3,few clouds
36,Hilo,US,19.7297,-155.09,68.0,77,75,5.75,broken clouds
37,Beringovskiy,RU,63.05,179.3167,-9.45,88,13,4.43,few clouds
38,Kavieng,PG,-2.5744,150.7967,81.46,75,100,3.71,overcast clouds
39,Clyde River,CA,70.4692,-68.5914,-7.6,84,90,5.75,overcast clouds
40,Vestmanna,FO,62.1564,-7.1664,33.8,80,20,5.75,few clouds
41,Kitgum,UG,3.2783,32.8867,83.95,34,81,6.22,broken clouds
42,Stafford,GB,52.8052,-2.1164,35.01,81,3,7.0,clear sky
43,Barcelos,PT,41.5388,-8.6151,57.2,100,90,16.11,mist
44,Torbay,CA,47.6666,-52.7314,25.0,100,75,18.41,broken clouds
45,Ribeira Grande,PT,38.5167,-28.7,62.6,100,75,9.22,light rain
46,Hobart,AU,-42.8794,147.3294,60.01,88,82,1.14,broken clouds
47,Sindou,BF,10.6667,-5.1667,94.44,9,77,5.84,broken clouds
48,Bengkulu,ID,-3.8004,102.2655,77.7,85,100,5.95,overcast clouds
49,Miandrivazo,MG,-19.5167,45.4667,87.62,56,63,3.33,broken clouds
50,Kapaa,US,22.0752,-159.319,71.6,94,90,23.02,moderate rain
51,Rosario Do Sul,BR,-30.2583,-54.9142,91.06,40,0,7.72,clear sky
52,Garmsar,IR,35.2182,52.3409,36.09,67,0,4.34,clear sky
53,Dikson,RU,73.5069,80.5464,-19.05,89,97,4.32,overcast clouds
54,Kaduqli,SD,11.0167,29.7167,76.96,23,84,2.42,broken clouds
55,Husavik,IS,66.0449,-17.3389,30.2,86,90,21.85,light snow
56,Pascagoula,US,30.3658,-88.5561,60.8,77,90,8.05,overcast clouds
57,Jejuri,IN,18.2833,74.1667,75.13,41,16,5.55,few clouds
58,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,48,40,14.97,scattered clouds
59,Maltahohe,NA,-24.8333,16.9833,91.0,20,100,6.44,overcast clouds
60,Pochutla,MX,15.7432,-96.4661,80.01,73,90,3.62,overcast clouds
61,Lata,PT,40.1629,-8.3327,59.0,94,100,5.01,overcast clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,87.8,58,20,13.8,few clouds
63,Tiksi,RU,71.6872,128.8694,-42.68,79,35,6.06,scattered clouds
64,Lasem,ID,-6.6922,111.4527,78.62,84,100,3.18,light rain
65,Bredasdorp,ZA,-34.5322,20.0403,78.8,47,0,26.46,clear sky
66,Tasiilaq,GL,65.6145,-37.6368,15.8,48,1,1.14,clear sky
67,Butaritari,KI,3.0707,172.7902,78.8,83,33,10.83,scattered clouds
68,Dasoguz,TM,41.8363,59.9666,35.6,75,90,2.3,overcast clouds
69,Marystown,CA,47.1666,-55.1483,28.63,91,71,19.42,broken clouds
70,Inirida,CO,3.8653,-67.9239,78.57,85,100,4.0,overcast clouds
71,San Gabriel Casa Blanca,MX,18.15,-97.1333,77.18,34,2,1.48,clear sky
72,Jamestown,US,42.097,-79.2353,19.99,73,90,17.27,light snow
73,Carnot,CF,4.9409,15.8665,97.12,13,22,7.07,few clouds
74,Weligama,LK,5.9667,80.4167,76.42,85,15,5.23,few clouds
75,Agadez,NE,19.75,10.25,70.79,18,0,4.94,clear sky
76,Pacifica,US,37.6138,-122.4869,46.99,87,20,6.91,few clouds
77,Ponta Do Sol,PT,32.6667,-17.1,66.2,77,20,5.75,few clouds
78,San Luis,AR,-33.295,-66.3356,91.13,23,0,11.32,clear sky
79,Vung Tau,VN,10.346,107.0843,76.17,81,4,19.57,clear sky
80,San Jeronimo,PE,-11.9472,-75.2829,57.25,57,87,1.79,light rain
81,Sistranda,NO,63.7256,8.834,33.8,100,75,9.22,light intensity drizzle rain
82,Vakhtan,RU,57.9659,46.6889,15.22,97,100,7.63,light snow
83,Maldonado,UY,-34.6667,-54.9167,87.8,51,40,11.5,scattered clouds
84,Pevek,RU,69.7008,170.3133,-10.34,90,100,8.97,overcast clouds
85,Camopi,GF,3.1655,-52.3158,79.7,90,44,4.05,scattered clouds
86,Waipawa,NZ,-41.4122,175.5153,64.4,82,75,17.27,broken clouds
87,Niquelandia,BR,-14.4739,-48.4597,86.47,51,93,8.55,overcast clouds
88,South Hill,US,47.1412,-122.2701,28.99,100,1,1.21,clear sky
89,Ternovka,RU,51.678,41.6375,33.93,98,100,9.64,overcast clouds
90,Nikolskoye,RU,59.7035,30.7861,35.6,87,90,6.71,overcast clouds
91,Sibolga,ID,1.7427,98.7792,77.49,79,100,3.4,overcast clouds
92,Bambous Virieux,MU,-20.3428,57.7575,82.4,74,40,4.61,scattered clouds
93,New Norfolk,AU,-42.7826,147.0587,59.0,66,77,2.84,broken clouds
94,Yulara,AU,-25.2406,130.9889,77.0,83,40,9.22,scattered clouds
95,Grindavik,IS,63.8424,-22.4338,28.4,86,75,25.32,broken clouds
96,Nalut,LY,30.3333,10.85,62.15,31,0,10.63,clear sky
97,Rodrigues Alves,BR,-7.738,-72.6509,82.4,83,75,4.61,light rain
98,Cherskiy,RU,68.75,161.3,-26.07,85,100,6.22,overcast clouds
99,Faya,SA,18.3851,42.4509,62.6,72,0,5.75,clear sky
100,Nouadhibou,MR,20.931,-17.0347,84.2,16,100,10.36,overcast clouds
101,Nyurba,RU,63.2842,118.3319,-54.2,69,76,4.79,broken clouds
102,Yumen,CN,40.2833,97.2,21.7,81,27,10.74,scattered clouds
103,Port Hardy,CA,50.6996,-127.4199,37.4,93,75,3.44,broken clouds
104,Bella Vista,US,36.4295,-94.2316,36.0,44,1,14.97,clear sky
105,Avarua,CK,-21.2078,-159.775,82.4,74,20,6.91,light rain
106,Mount Isa,AU,-20.7333,139.5,80.6,69,40,3.44,scattered clouds
107,Dongsheng,CN,39.8161,109.9776,24.31,84,0,3.71,clear sky
108,Shitkino,RU,56.3703,98.3543,-1.57,91,100,3.04,overcast clouds
109,Constitucion,CL,-35.3333,-72.4167,68.18,67,14,7.38,few clouds
110,Huilong,CN,31.8111,121.655,45.0,85,95,1.99,overcast clouds
111,Mar Del Plata,AR,-38.0023,-57.5575,87.8,58,40,10.36,scattered clouds
112,Valparaiso,CL,-33.0393,-71.6273,64.4,100,90,8.05,overcast clouds
113,Rovaniemi,FI,66.5,25.7167,6.8,85,90,18.41,snow
114,Albany,US,42.6001,-73.9662,21.0,52,14,17.0,few clouds
115,Kaitangata,NZ,-46.2817,169.8464,57.99,42,38,8.01,scattered clouds
116,Broome,US,42.2506,-75.833,19.99,73,90,18.41,light snow
117,Machinga,MW,-15.1685,35.3,68.54,96,100,4.25,overcast clouds
118,Flinders,AU,-34.5833,150.8552,73.4,83,90,6.62,overcast clouds
119,Souillac,MU,-20.5167,57.5167,82.4,74,40,4.61,scattered clouds
120,Pachino,IT,36.7186,15.0907,51.8,82,40,18.41,scattered clouds
121,Bushehr,IR,28.9684,50.8385,59.0,63,0,11.5,clear sky
122,Erzin,TR,36.9559,36.2,55.0,46,0,7.61,clear sky
123,Muriwai Beach,NZ,-36.8167,174.45,63.0,84,66,10.58,broken clouds
124,Santa Cruz Cabralia,BR,-16.2781,-39.0247,80.6,74,20,8.05,few clouds
125,Krasnoborsk,RU,61.5598,45.934,5.22,93,100,9.78,snow
126,Moron,AR,-34.6534,-58.6198,91.99,43,0,1.99,clear sky
127,Acapulco,MX,16.8634,-99.8901,77.0,88,90,8.05,overcast clouds
128,Aniva,RU,46.7144,142.5294,-11.2,84,0,2.51,smoke
129,Hithadhoo,MV,-0.6,73.0833,83.01,68,66,5.57,broken clouds
130,Namatanai,PG,-3.6667,152.4333,79.7,78,98,3.89,overcast clouds
131,Ylivieska,FI,64.0833,24.55,35.01,97,100,5.01,light snow
132,Mahebourg,MU,-20.4081,57.7,82.4,74,40,4.61,scattered clouds
133,Karratha,AU,-20.7377,116.8463,86.83,47,11,19.33,few clouds
134,Xai-Xai,MZ,-25.0519,33.6442,81.95,79,100,11.77,overcast clouds
135,Canyon,US,34.9803,-101.9188,37.99,93,90,21.85,mist
136,Gourcy,BF,13.2167,-2.35,91.0,10,48,11.34,scattered clouds
137,Taoudenni,ML,22.6783,-3.9836,83.05,11,0,13.49,clear sky
138,Mikhaylovsk,RU,45.1283,42.0256,33.8,69,0,11.18,clear sky
139,Agadir,MA,30.4202,-9.5982,66.2,72,20,10.36,few clouds
140,Jumla,NP,29.2747,82.1838,36.55,67,0,6.53,clear sky
141,Manoel Urbano,BR,-8.8389,-69.2597,77.79,87,95,3.38,light rain
142,Aklavik,CA,68.2191,-135.0107,-2.2,84,90,9.22,light snow
143,San Clemente,US,33.427,-117.612,50.0,89,98,1.99,overcast clouds
144,Yerbogachen,RU,61.2767,108.0108,-53.18,75,48,1.48,scattered clouds
145,San Cristobal,VE,7.7669,-72.225,82.4,65,40,5.75,scattered clouds
146,Kodiak,US,57.79,-152.4072,35.6,69,20,23.51,few clouds
147,Viedma,AR,-40.8135,-62.9967,89.73,27,4,21.23,clear sky
148,Pangkalanbuun,ID,-2.6833,111.6167,74.68,95,100,1.74,light rain
149,Maputo,MZ,-25.9653,32.5892,84.0,78,75,3.44,broken clouds
150,Alofi,NU,-19.0595,-169.9187,75.2,94,93,1.14,overcast clouds
151,Reni,UA,45.4573,28.2932,45.0,87,0,3.44,clear sky
152,Ancud,CL,-41.8697,-73.8203,70.0,72,75,6.91,broken clouds
153,Jiazi,CN,22.8779,116.067,62.73,92,55,9.37,broken clouds
154,Fengzhen,CN,40.4394,113.1536,23.11,78,0,2.64,clear sky
155,Russell,US,32.3502,-85.1999,51.01,49,1,6.91,clear sky
156,Khatanga,RU,71.9667,102.5,-28.71,83,100,12.44,overcast clouds
157,Vila Velha,BR,-20.3297,-40.2925,84.99,65,40,4.61,scattered clouds
158,Port Alfred,ZA,-33.5906,26.891,72.0,89,44,8.01,scattered clouds
159,Oussouye,SN,12.485,-16.5469,96.8,50,0,9.22,clear sky
160,Talnakh,RU,69.4865,88.3972,-35.55,67,39,0.69,scattered clouds
161,Roald,NO,62.5833,6.1333,39.2,81,75,13.8,broken clouds
162,Georgetown,MY,5.4112,100.3354,80.01,89,20,2.33,few clouds
163,Boyolangu,ID,-8.1181,111.8935,77.27,80,100,1.99,overcast clouds
164,Bethanien,NA,-26.502,17.1583,92.46,24,99,15.17,overcast clouds
165,Morros,BR,-9.4467,-46.3003,90.7,40,29,10.65,scattered clouds
166,San Rafael,AR,-34.6177,-68.3301,93.52,20,0,14.47,clear sky
167,Vao,NC,-22.6667,167.4833,76.53,82,97,26.42,overcast clouds
168,Fukue,JP,32.6881,128.8419,56.37,87,91,26.13,light rain
169,Floro,NO,61.5996,5.0328,37.4,93,75,13.8,light rain
170,Mecca,SA,21.4267,39.8261,77.38,57,0,10.54,clear sky
171,Chinsali,ZM,-10.5414,32.0816,69.01,92,100,2.59,moderate rain
172,Corpus Christi,US,27.8006,-97.3964,64.4,100,90,13.8,mist
173,Lebu,CL,-37.6167,-73.65,64.94,80,47,19.04,scattered clouds
174,Sinnamary,GF,5.3833,-52.95,79.54,86,90,14.2,overcast clouds
175,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,1,13.8,snow
176,Bluff,NZ,-46.6,168.3333,54.0,66,96,7.0,light rain
177,Hebi,CN,35.8992,114.1925,37.38,66,100,1.7,overcast clouds
178,Lasa,IT,46.6166,10.7002,42.8,70,75,1.14,broken clouds
179,Codrington,AU,-38.2667,141.9667,60.46,66,29,5.82,scattered clouds
180,Auki,SB,-8.7676,160.7034,75.51,75,55,3.89,broken clouds
181,Kahului,US,20.8947,-156.47,71.6,73,75,14.97,light rain
182,East London,ZA,-33.0153,27.9116,91.4,55,0,6.91,clear sky
183,Marrakesh,MA,31.6315,-8.0083,71.6,49,0,4.61,clear sky
184,Nhulunbuy,AU,-12.2333,136.7667,77.0,100,75,5.75,broken clouds
185,Laguna,US,38.421,-121.4238,42.8,87,1,5.44,clear sky
186,Kulhudhuffushi,MV,6.6221,73.07,82.45,71,41,8.37,scattered clouds
187,Atar,MR,20.5169,-13.0499,86.0,19,1,11.5,clear sky
188,Nanortalik,GL,60.1432,-45.2371,25.97,88,0,5.39,clear sky
189,Kavaratti,IN,10.5669,72.642,81.72,70,7,10.65,clear sky
190,Manokwari,ID,-0.8667,134.0833,78.6,80,68,4.72,broken clouds
191,Aykhal,RU,66.0,111.5,-39.12,79,42,3.83,scattered clouds
192,Teya,RU,60.3778,92.6267,-12.6,86,100,1.88,overcast clouds
193,Chuy,UY,-33.6971,-53.4616,83.08,59,35,11.92,scattered clouds
194,Saint-Philippe,RE,-21.3585,55.7679,82.4,74,40,4.61,scattered clouds
195,Luwingu,ZM,-10.2621,29.9271,68.45,93,100,3.65,moderate rain
196,Thinadhoo,MV,0.5333,72.9333,83.48,67,86,5.08,overcast clouds
197,Huarmey,PE,-10.0681,-78.1522,76.62,62,28,8.75,scattered clouds
198,Yakeshi,CN,49.2833,120.7333,0.81,92,17,2.15,few clouds
199,Tiarei,PF,-17.5333,-149.3333,77.0,78,20,3.44,few clouds
200,Kontagora,NG,10.3999,5.4695,96.57,10,37,3.09,scattered clouds
201,Esperance,AU,-33.8667,121.9,62.6,94,90,5.75,overcast clouds
202,Provideniya,RU,64.3833,-173.3,5.65,85,100,2.68,overcast clouds
203,Vestmannaeyjar,IS,63.4427,-20.2734,30.2,64,40,19.57,scattered clouds
204,Wau,SS,7.7029,27.9953,90.16,21,12,3.62,few clouds
205,Leningradskiy,RU,69.3833,178.4167,-10.55,86,100,5.64,overcast clouds
206,Guerrero Negro,MX,27.9769,-114.0611,59.61,72,76,4.52,broken clouds
207,Sault Sainte Marie,CA,46.5168,-84.3333,6.8,72,90,5.75,light snow
208,San Juan,AR,-31.5375,-68.5364,94.87,19,0,10.22,clear sky
209,Fortuna,US,40.5982,-124.1573,36.0,100,1,6.91,clear sky
210,Grand Gaube,MU,-20.0064,57.6608,81.0,69,10,4.0,clear sky
211,Namangan,UZ,40.9983,71.6726,28.4,46,96,4.61,overcast clouds
212,Ypsonas,CY,34.6884,32.9574,57.2,54,20,12.66,few clouds
213,Pisco,PE,-13.7,-76.2167,73.99,78,0,9.22,clear sky
214,Warmbad,NA,-28.45,18.7333,96.73,22,99,17.58,overcast clouds
215,Sosnovo-Ozerskoye,RU,52.5249,111.5418,8.13,94,100,6.29,overcast clouds
216,Olinda,BR,-8.0089,-34.8553,82.4,61,40,14.97,scattered clouds
217,Zaysan,KZ,47.4667,84.8667,4.37,84,100,1.52,snow
218,Gat,IL,31.61,34.7642,60.01,55,0,3.06,clear sky
219,Rawson,AR,-43.3002,-65.1023,70.57,57,0,19.33,clear sky
220,Ashtabula,US,41.7001,-80.7665,21.0,68,90,9.22,overcast clouds
221,Dwarka,IN,22.2394,68.9678,69.44,72,0,11.74,clear sky
222,Novaya Ladoga,RU,60.1025,32.3019,32.0,99,93,7.94,overcast clouds
223,Road Town,VG,18.4167,-64.6167,82.4,69,40,9.22,scattered clouds
224,Myrtle Beach,US,33.6891,-78.8867,51.01,44,0,14.52,clear sky
225,Castro,BR,-24.7911,-50.0119,74.7,77,86,4.36,overcast clouds
226,Gidam,IN,18.9833,81.4,66.65,47,0,1.23,clear sky
227,Mackay,AU,-21.15,149.2,77.0,73,40,11.5,scattered clouds
228,Toyooka,JP,35.5333,134.8333,45.73,89,100,7.85,light rain
229,Ketchikan,US,55.3422,-131.6461,32.0,93,90,5.75,overcast clouds
230,Longyearbyen,SJ,78.2186,15.6401,5.0,72,0,16.11,clear sky
231,Saldanha,ZA,-33.0117,17.9442,75.2,53,5,17.27,clear sky
232,Kresttsy,RU,58.2452,32.5165,34.68,97,100,6.93,overcast clouds
233,Gazanjyk,TM,39.2446,55.5154,30.42,91,0,12.41,clear sky
234,Sarandi,BR,-23.4436,-51.8739,78.8,83,0,3.44,clear sky
235,Funtua,NG,11.5233,7.3081,83.3,14,34,13.09,scattered clouds
